time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
2.575000;-5.734385;2.699553;7.517064;0.011978;0.002527;0.018922
2.583333;-5.738268;2.679252;7.497015;0.003364;0.014105;0.005002
2.591667;-5.745510;2.669970;7.497190;-0.014856;-0.007141;0.005212
2.600000;-5.749025;2.684784;7.506431;-0.015905;-0.008177;0.009542
2.608333;-5.756211;2.694052;7.512098;0.014043;-0.025084;0.014566
2.616667;-5.752642;2.675496;7.506518;-0.000840;-0.011265;0.024478
2.625000;-5.741565;2.679094;7.520899;0.001268;-0.008097;0.019049
2.633333;-5.727065;2.682787;7.520549;-0.000919;-0.020847;0.015822
2.641667;-5.747269;2.690382;7.502726;-0.007331;-0.001795;0.010522
2.650000;-5.743296;2.697634;7.528265;-0.007229;0.001483;0.026716
2.658333;-5.739754;2.680950;7.520855;0.015146;-0.011278;0.015637
2.666667;-5.741935;2.694141;7.495274;0.005437;-0.018785;0.004953
2.675000;-5.739892;2.692165;7.511704;-0.002062;0.003452;-0.003582
2.683333;-5.730788;2.679126;7.513314;0.011905;-0.007073;0.009198
2.691667;-5.741596;2.684683;7.519069;0.003418;-0.022917;0.025492
2.700000;-5.749041;2.675503;7.504600;-0.014777;0.003522;0.014938
2.708333;-5.756322;2.679245;7.502945;-0.000908;-0.001788;0.010448
2.716667;-5.741882;2.692257;7.498934;-0.000970;0.007702;-0.001430
2.725000;-5.738138;2.675471;7.506167;0.001445;0.006869;0.042818
2.733333;-5.741818;2.679220;7.502594;-0.005172;-0.010253;0.015889
2.741667;-5.752737;2.694122;7.501028;0.001248;0.002470;0.012582
2.750000;-5.748972;2.707051;7.511924;0.016235;0.001451;0.015635
2.758333;-5.749040;2.699654;7.506432;0.003385;-0.025068;0.021173
2.766667;-5.748858;2.669838;7.517412;0.016191;-0.027195;0.015618
2.775000;-5.727295;2.660608;7.502243;-0.021228;-0.017701;0.016076
2.783333;-5.738138;2.675471;7.506167;-0.000918;-0.009206;0.011516
2.791667;-5.738060;2.673575;7.511658;-0.002983;-0.001730;0.021266
2.800000;-5.741724;2.686605;7.509916;-0.001946;0.003543;0.014777
2.808333;-5.747062;2.686564;7.517370;-0.018084;-0.003967;0.002009
2.816667;-5.752661;2.694084;7.506519;0.018536;-0.000542;0.041528
2.825000;-5.737943;2.682806;7.520811;0.000222;0.001456;0.020147
2.833333;-5.745413;2.697789;7.506344;0.009759;-0.016619;0.011381
2.841667;-5.752694;2.677380;7.502857;-0.004082;-0.000704;0.015886
2.850000;-5.741565;2.679094;7.520899;0.022686;0.001486;0.019875
2.858333;-5.745358;2.694046;7.510005;0.001224;-0.001780;0.010415
2.866667;-5.745023;2.688306;7.533800;0.003440;0.006772;0.020111
