Time (s),Roll (deg),Pitch (deg),Yaw (deg)
1.775538921,9.753839,36.73252,96.30154
1.780457497,9.459799,36.97664,96.10443
1.785376072,9.125943,37.18118,95.85719
1.790293693,8.798603,37.36604,95.60474
1.795212746,8.491414,37.53876,95.35751
1.800131321,8.204764,37.70745,95.12315
1.805055141,7.92681,37.86933,94.89955
1.812427044,7.507831,38.10085,94.57559
1.817345619,7.230505,38.22552,94.35812
1.822263718,6.978461,38.33051,94.15182
1.827182293,6.751057,38.4154,93.95054
1.832100868,6.555705,38.50218,93.77451
1.837018967,6.363528,38.58711,93.60824
1.841937542,6.178851,38.67052,93.45807
1.846855164,6.014142,38.73813,93.32318
1.851774693,5.875505,38.78747,93.19941
1.856692791,5.772235,38.82322,93.09361
1.861610413,5.687521,38.85395,92.99783
1.866528988,5.628644,38.88718,92.91965
1.871447563,5.570451,38.92266,92.84356
1.876365662,5.521621,38.95671,92.77316
1.883743763,5.453033,39.00226,92.65948
1.888662338,5.417692,39.02782,92.59018
1.893580437,5.389172,39.04714,92.52251
1.898499012,5.37072,39.07787,92.47364
1.903417587,5.361811,39.09546,92.41529
1.908335209,5.321312,39.11546,92.33726
1.913254261,5.298,39.1354,92.27502
1.918172836,5.272818,39.14841,92.21034
1.923090458,5.252488,39.15826,92.13986
1.928009033,5.217659,39.16892,92.06236
1.932928085,5.178913,39.17317,91.97565
1.937850952,5.122135,39.17948,91.8847
1.942764282,5.05714,39.18444,91.79416
1.947682381,4.985793,39.1839,91.7042
1.952600956,4.913714,39.1748,91.61586
1.959979057,4.799959,39.14973,91.48852
1.964896679,4.725289,39.12323,91.40729
1.969815731,4.6562,39.08818,91.33128
1.974734306,4.59034,39.04905,91.26006
1.979651928,4.535897,39.0018,91.19354
1.984570503,4.486864,38.94905,91.13235
1.989489555,4.443534,38.89192,91.07649
1.994407177,4.407476,38.82729,91.02364
1.999325752,4.367627,38.75471,90.96768
2.004244328,4.325992,38.67899,90.91127
2.009162426,4.272855,38.60143,90.85134
2.014081001,4.220322,38.52041,90.79104
2.018999577,4.162972,38.43704,90.72952
2.023917675,4.107865,38.3507,90.66757
2.031295776,4.024239,38.21931,90.57542
2.036213398,3.975247,38.13495,90.51396
2.041131973,3.930124,38.05679,90.45361
2.046051025,3.889318,37.99112,90.39402
2.050968647,3.851255,37.94183,90.33828
2.055887222,3.813179,37.9017,90.28284
2.060805798,3.777612,37.87071,90.23022
2.065723896,3.742096,37.84343,90.17676
2.070642471,3.708645,37.82127,90.12471
2.075561047,3.679373,37.79931,90.07573
2.080479145,3.654612,37.77811,90.02949
2.085397720,3.633216,37.75816,89.98523
2.092774868,3.603419,37.73009,89.91969
2.097693443,3.588418,37.71235,89.87671
2.102612495,3.574739,37.69753,89.83673
2.107530117,3.565065,37.68298,89.79852
2.112448692,3.55639,37.66673,89.75951
2.117367268,3.550041,37.64911,89.72146
2.122285366,3.544551,37.63372,89.68465
2.127203941,3.541437,37.62005,89.6499
2.132122517,3.543158,37.60651,89.61722
2.137041092,3.547657,37.59122,89.58472
2.141959190,3.553137,37.57931,89.55187
2.149337292,3.563473,37.56147,89.50333
2.154254913,3.569863,37.55009,89.47152
2.159173965,3.577932,37.53899,89.43937
2.164092541,3.59208,37.52771,89.41161
2.169010162,3.609817,37.516,89.38519
2.173928738,3.628578,37.50222,89.35624
2.178846836,3.648547,37.4916,89.32725
2.183765411,3.671866,37.47989,89.3
2.188683987,3.701006,37.46833,89.27437
2.193602085,3.739182,37.45758,89.25094
2.198520660,3.783516,37.44648,89.22721
2.205898762,3.853354,37.44346,89.1963
2.210816383,3.899707,37.4435,89.17449
2.215735436,3.943227,37.44974,89.1516
2.220654011,3.984636,37.45545,89.12376
2.225571632,4.023676,37.46436,89.09661
2.230490208,4.056571,37.47528,89.06455
2.235409260,4.087475,37.48962,89.03143
2.240326881,4.110356,37.50558,88.99361
2.245245457,4.129499,37.52606,88.95449
2.250164032,4.148463,37.54618,88.91444
2.255082130,4.168733,37.56817,88.87393
2.260000706,4.190794,37.5968,88.83676
2.264919281,4.222189,37.6335,88.80602
2.272296906,4.298928,37.70259,88.77777
2.277215481,4.363667,37.75641,88.76543
2.282133102,4.43067,37.81673,88.75298
2.287051678,4.510183,37.88882,88.74903
2.291970730,4.594697,37.96838,88.74563
2.296888352,4.694512,38.06144,88.75053
2.301806927,4.809802,38.1753,88.76347
2.306725502,4.947078,38.30426,88.78599
2.311643601,5.101215,38.45839,88.81969
2.316565514,5.265898,38.62748,88.85475
2.321480751,5.449148,38.82445,88.89796
2.326398850,5.669844,39.06009,88.95119
2.331317425,5.940814,39.36615,89.00504
2.336236000,6.264856,39.77989,89.06761
2.343613148,6.782938,40.63531,89.13232
2.348532200,7.141048,41.40461,89.16861
2.353449822,7.52321,42.31388,89.21449
2.358368397,7.893085,43.34109,89.24259
2.363286972,8.246216,44.46041,89.25174
2.368205071,8.576301,45.68473,89.21332
2.373123646,8.847323,46.9148,89.096
2.378042221,9.16144,48.23135,89.01374
2.382960320,9.404814,49.65316,88.87598
2.387879372,9.509947,51.04079,88.57179
2.392797470,9.644997,52.46968,88.32496
2.400174618,9.672249,54.65572,87.86422
2.405093670,9.586898,56.11436,87.52715
2.410012245,9.451372,57.58162,87.1912
2.414929867,9.321689,59.03185,86.87783
2.419848442,9.185584,60.4458,86.56219
2.424767017,9.065922,61.78529,86.15671
2.429685116,9.024055,63.01678,85.73543
2.434603691,8.934313,64.1289,85.26137
2.439521789,8.386552,65.09202,84.55162
2.444440365,7.52331,65.8922,83.64991
2.449358940,6.462898,66.58926,82.61649
2.454277038,5.260951,67.21169,81.48631
2.459195614,4.080883,67.68335,80.34233
2.464114189,3.058455,68.04797,79.27647
2.471491337,1.71569,68.518,77.73453
2.476409912,0.8990794,68.79562,76.72539
2.481328487,0.1221407,69.0257,75.72408
2.486246586,-0.6538348,69.19263,74.7067
2.491165161,-1.453492,69.29205,73.65994
2.496083736,-2.275186,69.32011,72.58944
2.501001835,-3.107641,69.28065,71.50103
2.505920410,-3.934882,69.18225,70.40702
2.510838985,-4.737581,69.03487,69.32493
2.515757084,-5.515609,68.84304,68.2581
2.520675659,-6.283225,68.60952,67.19406
2.525594234,-7.047256,68.32659,66.12863
2.530512333,-7.796334,67.98235,65.07486
2.537889957,-8.82724,67.34745,63.57129
2.542808056,-9.402123,66.84237,62.66652
2.547726631,-9.867292,66.27631,61.85746
2.552645206,-10.21851,65.6547,61.14949
2.557563305,-10.46176,64.984,60.53835
2.562481880,-10.59257,64.26892,60.03121
2.567400455,-10.61146,63.51374,59.62931
2.572318554,-10.53508,62.72574,59.31704
2.577237129,-10.36644,61.90561,59.10011
2.582155704,-10.0997,61.05664,58.98673
2.587073803,-9.739585,60.18038,58.97352
2.591992378,-9.296281,59.2811,59.05798
2.596910953,-8.787299,58.36063,59.22935
2.601829052,-8.218254,57.42172,59.48503
2.606747627,-7.611372,56.47025,59.81023
2.611666202,-6.973629,55.50906,60.19965
2.616584301,-6.301785,54.53999,60.6542
2.621502876,-5.599408,53.5667,61.16192
2.628880024,-4.477491,52.08516,62.03689
2.633798599,-3.688472,51.08244,62.68499
2.638717174,-2.881988,50.0642,63.36953
2.643635273,-2.07772,49.03067,64.0724
2.648553848,-1.29142,47.98489,64.77928
2.653477192,-0.5237402,46.93076,65.48283
2.658390522,0.222019,45.8702,66.17587
2.663309097,0.946556,44.80043,66.85418
2.668227672,1.646923,43.72314,67.51797
2.673145771,2.318541,42.6366,68.16428
2.678064346,2.956759,41.53868,68.78359
2.682982922,3.556638,40.42997,69.3766
2.690360069,4.382648,38.75743,70.21747
2.695278644,4.891292,37.63355,70.75098
2.700196743,5.368705,36.49986,71.26283
2.705115318,5.818842,35.36221,71.75909
2.710033894,6.246589,34.21743,72.23744
2.714952469,6.647499,33.07531,72.70275
2.719870567,7.022727,31.93003,73.18251
2.724789143,7.373358,30.79759,73.65245
2.729707241,7.696095,29.68272,74.1124
2.734625816,7.99401,28.58516,74.56641
2.742003441,8.399036,26.96347,75.23727
2.746921539,8.639045,25.89195,75.68172
2.751840115,8.855715,24.82299,76.12432
2.756758690,9.049189,23.75183,76.56275
2.761676788,9.21765,22.67531,76.99257
2.766595364,9.355913,21.60164,77.4488
2.771513939,9.459726,20.53925,77.93168
2.776432037,9.531289,19.49755,78.4032
2.781350613,9.582531,18.48006,78.85703
2.786269188,9.622069,17.49354,79.28188
2.791187286,9.665286,16.54318,79.6728
2.796105862,9.728295,15.6369,80.02711
2.801024437,9.828432,14.77114,80.34933
2.805942535,9.985079,13.94251,80.6493
2.810861111,10.21282,13.14573,80.93849
2.818238258,10.69231,11.99723,81.36523
2.823156834,11.09197,11.26369,81.63886
2.828075409,11.53574,10.56419,81.89645
2.832993507,12.00776,9.903568,82.1368
2.837912083,12.49821,9.28308,82.36417
2.842830658,13.0004,8.702969,82.58748
2.847748756,13.51202,8.161186,82.81541
2.852667332,14.02301,7.656453,83.04678
2.857585907,14.5254,7.192436,83.27618
2.862504005,15.0043,6.774514,83.4936
2.867422581,15.44213,6.412465,83.688
2.872341156,15.82411,6.117154,83.84756
2.877258778,16.14264,5.897786,83.97067
2.884636879,16.50868,5.729575,84.08415
2.889554977,16.68939,5.730184,84.11134
2.894473553,16.82442,5.821354,84.09931
2.899392128,16.91493,5.99873,84.05061
2.904310226,16.9681,6.253233,83.96844
2.909228802,16.99272,6.571867,83.86089
2.914147377,16.9889,6.942719,83.73248
2.919065475,16.9574,7.364724,83.58546
2.923984051,16.90394,7.816541,83.43299
2.928902626,16.83113,8.291774,83.28175
2.933820248,16.74387,8.787271,83.13755
2.938739300,16.64817,9.298613,83.00789
2.946116924,15.87804,10.10999,82.64288
2.951035023,15.04836,10.80053,82.23152
2.955953598,14.01659,11.73203,81.80894
2.960872173,12.98668,12.87804,81.59882
2.965790272,12.22473,13.84083,81.48103
2.970708847,11.68974,14.87247,81.61277
2.975627422,11.30697,15.87226,81.88738
2.980545521,11.04274,16.98646,82.24731
2.985464096,10.79215,18.26772,82.60644
2.990382671,10.50508,19.77201,82.92776
2.995300770,10.27243,21.39406,83.21207
3.000219345,10.11994,22.94236,83.39816
3.005137920,10.04403,24.33765,83.47736
3.010055542,10.03054,25.52219,83.46799
3.017433643,10.14911,26.97344,83.40427
3.022351742,10.26305,27.77171,83.37361
3.027270317,10.34682,28.50763,83.37862
3.032188892,10.35978,29.17492,83.39935
3.037106991,10.29961,29.7886,83.44129
3.042026043,10.14543,30.36847,83.49379
3.046944141,9.885178,30.958,83.56028
3.051862240,9.535795,31.50002,83.53232
3.056780815,9.140282,32.04135,83.42431
3.061699390,8.736481,32.572,83.26884
3.066617012,8.3802,33.08397,83.10606
3.073995113,7.854211,33.77814,82.87586
3.078913689,7.482987,34.17743,82.72633
3.083831787,7.066453,34.49142,82.5004
3.088750362,6.635283,34.75669,82.23069
3.093668938,6.249782,35.0111,82.00068
3.098587036,5.913905,35.2431,81.81757
3.103505611,5.615958,35.42017,81.65062
3.108423710,5.354597,35.58915,81.52801
3.113342285,5.123127,35.716,81.42113
3.118260860,4.92771,35.80274,81.31461
3.123178482,4.781893,35.86815,81.2248
3.128097057,4.669723,35.92509,81.15302
3.133016109,4.567496,35.98537,81.10095
3.137933731,4.463496,36.03617,81.04132
3.145311832,4.31832,36.12257,80.98439
3.150230408,4.249137,36.16665,80.95884
3.155148506,4.192893,36.19452,80.93269
3.160067081,4.160752,36.21479,80.91437
3.164985657,4.136777,36.24278,80.89234
3.169903755,4.114912,36.27927,80.87997
3.174822331,4.090301,36.31743,80.86633
3.179740906,4.070126,36.35342,80.85913
3.184658527,4.06107,36.38943,80.85997
3.189577580,4.074522,36.42407,80.86462
3.194496155,4.070896,36.4648,80.86219
3.199415207,4.069589,36.50014,80.86005
3.204332352,4.082628,36.53329,80.86111
3.211709976,4.102942,36.58384,80.86496
3.216628552,4.10373,36.6216,80.86175
3.221547127,4.107021,36.65392,80.85707
3.226465225,4.113945,36.68587,80.85599
3.231383801,4.110826,36.71816,80.8483
3.236302376,4.112292,36.74935,80.84714
3.241219997,4.105317,36.77862,80.83891
3.246139050,4.092006,36.80412,80.83051
3.251057625,4.079843,36.8233,80.81732
3.255975246,4.056007,36.8443,80.80212
3.260893822,4.030323,36.86709,80.79031
3.265812874,4.002344,36.88787,80.78047
3.270730496,3.978822,36.90832,80.77307
3.275649071,3.953403,36.93283,80.76849
3.283027172,3.934509,36.9693,80.77094
3.287945271,3.931794,36.99718,80.78159
3.292863846,3.932203,37.0231,80.78978
3.297782421,3.93401,37.05164,80.80373
3.302700520,3.936661,37.07562,80.81461
3.307619095,3.936531,37.09868,80.82569
3.312537670,3.936498,37.11936,80.8346
3.317455292,3.933112,37.13314,80.83585
3.322374344,3.926809,37.14474,80.8349
3.329751492,3.913171,37.14663,80.81905
3.334670067,3.90027,37.14467,80.80136
3.339588642,3.882149,37.14235,80.78112
3.344506741,3.858654,37.14225,80.76039
3.349425316,3.831079,37.14378,80.74265
3.354343891,3.803456,37.13758,80.71921
3.359261990,3.775236,37.1288,80.69212
3.364180565,3.751288,37.11646,80.66165
